runtime,#high-level expanded,#high-level generated,#high-level merged,#low-level expanded,#low-level generated,#solver calls,max MA,solution cost,min f value,root g value,root f value,merge_th,runtime of detecting conflicts,runtime of building CATs,runtime of path finding,runtime of generating root,runtime of generating child nodes,runtime of sub-solver,runtime of merge,runtime of preprocessing,solver name,instance name,max conflict num, max conf a1, max conf a2
0.018895,26,53,0,2545,8950,0,1,315,315,304,304,2147483647,0.000613,0.010198,0.015365,0.002114,0.01598,0,0,0.016932,ECBS_1.001000,instances/scen-even/random-32-32-20-even-1.scen,18,4,5
0.004305,3,7,0,747,2455,0,1,304,304,304,304,2147483647,0.000122,0.002097,0.002015,0.002112,0.002095,0,0,0.018699,ECBS_1.001000,instances/scen-even/random-32-32-20-even-1.scen,1,3,5
0.004392,3,7,0,747,2455,0,1,304,304,304,304,2147483647,0.000124,0.002047,0.001993,0.002204,0.002064,0,0,0.016455,ECBS_1.001000,instances/scen-even/random-32-32-20-even-1.scen,1,3,5
0.020317,26,53,0,2545,8950,0,1,315,315,304,304,2147483647,0.000665,0.010942,0.015948,0.002599,0.01662,0,0,0.016748,ECBS_1.001000,instances/scen-even/random-32-32-20-even-1.scen,18,4,5
0.006208,5,11,0,897,3005,0,1,304,304,304,304,2147483647,0.000172,0.003018,0.003325,0.002478,0.00345,0,0,0.016719,ECBS_1.001000,instances/scen-even/random-32-32-20-even-1.scen,3,4,5
0.004599,2,5,0,708,2276,0,1,314,305,305,304,2147483647,9.6e-05,0.001932,0.001756,0.002586,0.001808,0,0,0.01512,ECBS_1.100000,instances/scen-even/random-32-32-20-even-1.scen,1,4,7
0.004392,2,5,0,708,2276,0,1,314,305,305,304,2147483647,0.000103,0.001957,0.001556,0.00264,0.001606,0,0,0.016198,ECBS_1.110000,instances/scen-even/random-32-32-20-even-1.scen,1,4,7
0.008166,9,19,0,1211,4137,0,1,306,304,304,304,2147483647,0.000266,0.004313,0.005191,0.002382,0.005401,0,0,0.016054,ECBS_1.010000,instances/scen-even/random-32-32-20-even-1.scen,6,4,5
0.008445,9,19,0,1211,4137,0,1,306,304,304,304,2147483647,0.000249,0.003991,0.005126,0.002105,0.00533,0,0,0.016585,ECBS_1.010000,instances/scen-even/random-32-32-20-even-1.scen,6,4,5
0.009089,9,19,0,1211,4137,0,1,306,304,304,304,2147483647,0.000319,0.004423,0.005688,0.002472,0.005975,0,0,0.017305,ECBS_1.010000,instances/scen-even/random-32-32-20-even-1.scen,6,4,5
0.009491,9,19,0,1211,4137,0,1,306,304,304,304,2147483647,0.000254,0.004896,0.006241,0.002393,0.006469,0,0,0.015146,ECBS_1.010000,instances/scen-even/random-32-32-20-even-1.scen,6,4,5
0.008549,9,19,0,1211,4137,0,1,306,304,304,304,2147483647,0.000248,0.004182,0.005388,0.002264,0.005607,0,0,0.016276,ECBS_1.010000,instances/scen-even/random-32-32-20-even-1.scen,6,4,5
0.008603,9,19,0,1211,4137,0,1,306,304,304,304,2147483647,0.000255,0.004244,0.005415,0.002312,0.005625,0,0,0.016104,ECBS_1.010000,instances/scen-even/random-32-32-20-even-1.scen,6,4,5
60.0667,11321,22643,0,5748135,12622219,0,1,-1,2302,2302,2302,2147483647,3.02524,39.2267,55.9982,0.08033,59.1115,0,0,0.108902,ECBS_1.010000,instances/scen-even/random-32-32-20-even-1.scen,3510,39,98
0.021584,19,39,0,2328,7810,0,1,402,400,399,399,2147483647,0.000734,0.012509,0.015849,0.003534,0.016529,0,0,0.020944,ECBS_1.010000,instances/scen-even/random-32-32-20-even-1.scen,12,4,5
0.048899,38,77,0,7519,17619,0,1,509,505,504,504,2147483647,0.001522,0.027643,0.040321,0.005553,0.041744,0,0,0.027434,ECBS_1.010000,instances/scen-even/random-32-32-20-even-1.scen,16,3,5
0.086426,51,103,0,16151,33135,0,1,642,638,637,637,2147483647,0.002598,0.044516,0.073714,0.008223,0.076239,0,0,0.031772,ECBS_1.010000,instances/scen-even/random-32-32-20-even-1.scen,15,3,5
0.044794,25,51,0,7015,15201,0,1,663,637,639,637,2147483647,0.001383,0.025657,0.034404,0.007888,0.035611,0,0,0.031149,ECBS_1.050000,instances/scen-even/random-32-32-20-even-1.scen,5,3,5
0.237475,85,171,0,37374,75529,0,1,1197,1142,1148,1142,2147483647,0.007897,0.139548,0.204495,0.02215,0.212029,0,0,0.053671,ECBS_1.050000,instances/scen-even/random-32-32-20-even-1.scen,20,11,45
60.0845,16028,32057,0,10663960,18571030,0,1,-1,1563,1573,1563,2147483647,2.09152,32.8948,57.2856,0.041539,59.4379,0,0,0.071372,ECBS_1.050000,instances/scen-even/random-32-32-20-even-1.scen,781,51,52
0.353696,80,161,0,56247,104431,0,1,1717,1563,1586,1563,2147483647,0.011302,0.204436,0.296144,0.043178,0.306558,0,0,0.07113,ECBS_1.100000,instances/scen-even/random-32-32-20-even-1.scen,7,1,4
300.61,74529,149059,0,47973859,83830866,0,1,-1,1563,1573,1563,2147483647,10.5339,167.725,286.523,0.041662,297.351,0,0,0.072314,ECBS_1.050000,instances/scen-even/random-32-32-20-even-1.scen,3657,40,50
0.391464,59,119,0,51780,84720,0,1,1780,1635,1662,1635,2147483647,0.0119,0.226,0.311438,0.063054,0.321824,0,0,0.095998,ECBS_1.100000,instances/scen-random/random-32-32-20-random-2.scen,16,5,24
0.282217,59,119,0,37143,67478,0,1,1661,1524,1546,1524,2147483647,0.010273,0.168827,0.220978,0.049238,0.229975,0,0,0.085372,ECBS_1.100000,instances/scen-random/random-32-32-20-random-3.scen,7,1,9
0.300648,65,131,0,44631,74552,0,1,1710,1560,1585,1560,2147483647,0.010152,0.186874,0.240962,0.047525,0.249995,0,0,0.077982,ECBS_1.100000,instances/scen-random/random-32-32-20-random-4.scen,14,1,56
0.587657,145,291,0,83624,151036,0,1,1966,1789,1816,1789,2147483647,0.021478,0.365522,0.51011,0.050942,0.530781,0,0,0.079301,ECBS_1.100000,instances/scen-random/random-32-32-20-random-5.scen,14,21,32
0.223999,42,85,0,34037,59573,0,1,1948,1789,1832,1789,2147483647,0.007321,0.136066,0.161377,0.054383,0.167419,0,0,0.077769,ECBS_1.140000,instances/scen-random/random-32-32-20-random-5.scen,7,6,8
300.262,39461,78923,0,44545662,65457575,0,1,-1,2095,2132,2095,2147483647,8.96392,143.397,288.904,0.071898,298.085,0,0,0.09319,ECBS_1.100000,instances/scen-random/random-32-32-20-random-5.scen,5562,3,87
0.408719,86,173,0,60478,107795,0,1,1965,1789,1816,1789,2147483647,0.015858,0.234603,0.324534,0.054535,0.33782,0,0,0.078726,ECBS_1.100000,instances/scen-random/random-32-32-20-random-5.scen,7,42,73
0.496534,86,173,0,60478,107795,0,1,1965,1789,1816,1789,2147483647,0.015881,0.279489,0.375051,0.073391,0.390089,0,0,0.08485,ECBS_1.100000,instances/scen-random/random-32-32-20-random-5.scen,7,42,73
0.393569,86,173,0,60478,107795,0,1,1965,1789,1816,1789,2147483647,0.013675,0.231525,0.318172,0.053786,0.331115,0,0,0.077489,ECBS_1.100000,instances/scen-random/random-32-32-20-random-5.scen,7,42,73
11.2529,86,173,0,60478,107795,0,1,1965,1789,1816,1789,2147483647,0.353412,6.21485,9.66934,0.966808,10.0204,0,0,1.11312,ECBS_1.100000,instances/scen-random/random-32-32-20-random-5.scen,7,42,73
0.8952,189,379,0,174497,248410,0,1,1853,1718,1742,1718,2147483647,0.027791,0.462744,0.800355,0.050374,0.828351,0,0,0.079347,ECBS_1.100000,instances/scen-random/random-32-32-20-random-5.scen,113,35,70
